context_id,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write)
16c24g_64-1000000-4-oltp_read_write_20-0.6,9.619555175268802,95.68206296576822,26440.36363636364,1506.9472727272723,30.11636363782666,376.38000000000005,376.3727272727273,19856.109090909093,376.4127272727273,1215.610909090909,3776.3490909090906
16c24g_64-1000000-4-oltp_read_write_20-1.0,9.630502625856206,98.0224259579727,35410.27272727273,3236.1509090909094,31.55454545603557,808.6618181818183,808.66,42659.36363636364,808.7072727272728,962.0709090909093,3734.8745454545456
16c24g_64-1000000-4-oltp_read_write_5-0.2,9.639233188239352,95.25164615767405,29706.36363636364,1178.9763636363637,31.912727273323316,288.70909090909095,288.7109090909091,5482.958181818182,519.3472727272728,1016.1145454545456,3984.661818181818
16c24g_64-1000000-4-oltp_read_write_5-0.6,9.651512244764726,95.7304423001423,32675.18181818182,1363.4745454545457,31.12000000070442,333.7909090909091,333.8,6343.350909090909,600.9854545454546,1019.5981818181818,4039.216363636363
16c24g_64-1000000-4-oltp_read_write_5-1.0,9.65810988082245,98.0049823484725,42716.27272727273,3176.08,32.7927272726189,775.6436363636363,775.6490909090909,14879.656363636364,1403.8436363636365,870.06,3830.623636363636
16c24g_64-1000000-4-oltp_read_write_50-0.2,9.541249675642003,92.63407293258771,15153.545454545454,1533.3218181818183,30.032727272673085,204.27454545454543,204.2690909090909,21651.84909090909,306.39090909090913,1668.6945454545455,3246.7418181818184
16c24g_64-1000000-4-oltp_read_write_50-0.6,9.520861669239927,93.96224348106396,17581.636363636364,1872.8436363636365,30.820000000298023,249.5290909090909,249.52545454545452,26447.68,374.2672727272728,1643.7181818181818,3347.281818181818
16c24g_64-1000000-4-oltp_read_write_50-1.0,9.52266758614253,96.93022809293312,24423.272727272728,3626.689090909091,29.77636363628236,483.4,483.3963636363636,51235.92727272727,725.0527272727272,1210.689090909091,3553.336363636364
16c24g_64-1000000-4-oltp_read_write_80-0.2,9.610048333760313,91.16182010063989,10557.90909090909,2484.0654545454545,30.321818181059577,112.84727272727272,112.84909090909092,47279.24909090909,225.68727272727276,2737.936363636364,2346.5072727272727
16c24g_64-1000000-4-oltp_read_write_80-0.6,9.604363967261818,92.20634078437148,11504.454545454546,2752.7309090909093,30.087272729385983,125.06,125.06,52399.398181818186,250.11636363636364,2595.723636363636,2513.8
16c24g_64-1000000-4-oltp_read_write_80-1.0,9.61711586173641,96.71546803448312,12238.545454545454,4534.067272727272,29.50363636287776,206.02181818181816,206.0181818181818,86326.16181818182,412.0363636363636,1448.62,2983.041818181818
16c24g_64-1000000-4-oltp_read_write_95-0.2,9.563439179900437,84.35774117100864,6929.909090909091,4158.010909090909,34.6509090912613,50.08181818181818,50.08,24039.334545454545,100.16363636363636,4146.612727272728,1145.32
16c24g_64-1000000-4-oltp_read_write_95-0.6,9.6055335415038,86.13958434253392,7653.363636363636,4584.949090909091,35.31454545598138,55.21272727272728,55.21272727272728,26502.88,110.4309090909091,3830.023636363636,1214.7581818181818
16c24g_64-1000000-4-oltp_read_write_95-1.0,9.64465977703967,93.8157379874212,9032.181818181818,9341.88181818182,35.96727272461761,112.5418181818182,112.53818181818184,54019.17636363636,225.07636363636365,2490.0581818181818,1805.509090909091
16c24g_64-1000000-4-oltp_write_only-0.2,9.339280112618509,96.2426379651401,30196.090909090908,1136.5890909090908,25.19751793426174,189.18727272727276,189.1890909090909,567.5818181818181,378.4,752.7288110629245,3740.491567702225
16c24g_64-1000000-4-oltp_write_only-0.6,9.364319901710983,97.15033043267373,33755.72727272727,1357.6254545454544,25.12363636459817,226.03454545454545,226.03272727272727,678.1109090909091,452.07272727272726,695.0381818181818,3715.4872727272727
16c24g_64-1000000-4-oltp_write_only-1.0,9.326828713289212,98.5936333814314,26248.090909090908,2184.1309090909094,21.632727272131227,363.7854545454545,363.7872727272727,1091.358181818182,727.5672727272727,438.9436363636364,3446.823636363636
